fetch_time,observation_window,data_updated,latitude,longitude,strike_type,description,strike_time
2025-06-28 11:08:25,2025-06-27T22:40:00+08:00,2025-06-27T22:42:03+08:00,1.3512,103.8298,C,Cloud to Cloud,2025-06-27T22:38:46.889+08:00
2025-06-28 11:08:26,2025-06-27T21:30:00+08:00,2025-06-27T21:32:02+08:00,1.0883,103.4684,C,Cloud to Cloud,2025-06-27T21:28:07.724+08:00
2025-06-28 11:08:26,2025-06-27T21:30:00+08:00,2025-06-27T21:32:02+08:00,0.9982,103.3379,C,Cloud to Cloud,2025-06-27T21:28:07.724+08:00
2025-06-28 11:08:26,2025-06-27T21:30:00+08:00,2025-06-27T21:32:02+08:00,0.9934,103.3042,C,Cloud to Cloud,2025-06-27T21:28:07.724+08:00
2025-06-28 11:08:26,2025-06-27T21:30:00+08:00,2025-06-27T21:32:02+08:00,1.0727,103.4472,C,Cloud to Cloud,2025-06-27T21:28:07.724+08:00
2025-06-28 11:08:26,2025-06-27T21:30:00+08:00,2025-06-27T21:32:02+08:00,1.0461,103.3875,C,Cloud to Cloud,2025-06-27T21:28:07.725+08:00
2025-06-28 11:08:27,2025-06-27T21:20:00+08:00,2025-06-27T21:22:02+08:00,0.9615,103.2869,C,Cloud to Cloud,2025-06-27T21:19:37.419+08:00
2025-06-28 11:08:27,2025-06-27T21:18:00+08:00,2025-06-27T21:20:03+08:00,0.9658,103.3132,C,Cloud to Cloud,2025-06-27T21:16:01.899+08:00
2025-06-28 11:08:27,2025-06-27T21:16:00+08:00,2025-06-27T21:18:03+08:00,0.9707,103.3218,C,Cloud to Cloud,2025-06-27T21:15:12.833+08:00
2025-06-28 11:08:27,2025-06-27T21:12:00+08:00,2025-06-27T21:14:03+08:00,0.9943,103.3625,C,Cloud to Cloud,2025-06-27T21:10:10.065+08:00
2025-06-28 11:08:27,2025-06-27T21:12:00+08:00,2025-06-27T21:14:03+08:00,0.9748,103.3179,C,Cloud to Cloud,2025-06-27T21:10:31.291+08:00
2025-06-28 11:08:27,2025-06-27T21:12:00+08:00,2025-06-27T21:14:03+08:00,0.9597,103.2825,C,Cloud to Cloud,2025-06-27T21:11:45.647+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0272,103.4437,C,Cloud to Cloud,2025-06-27T21:08:15.274+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0149,103.4207,C,Cloud to Cloud,2025-06-27T21:08:15.274+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.018,103.4298,C,Cloud to Cloud,2025-06-27T21:08:49.405+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0396,103.4569,C,Cloud to Cloud,2025-06-27T21:08:49.405+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0484,103.4544,C,Cloud to Cloud,2025-06-27T21:08:49.406+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0608,103.5428,C,Cloud to Cloud,2025-06-27T21:09:14.604+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0687,103.5319,C,Cloud to Cloud,2025-06-27T21:09:14.677+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0586,103.5363,C,Cloud to Cloud,2025-06-27T21:09:14.677+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0793,103.5455,C,Cloud to Cloud,2025-06-27T21:09:14.83+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,0.9706,103.3407,C,Cloud to Cloud,2025-06-27T21:09:14.831+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0386,103.4511,C,Cloud to Cloud,2025-06-27T21:09:37.229+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0228,103.4447,C,Cloud to Cloud,2025-06-27T21:09:37.229+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0477,103.4696,C,Cloud to Cloud,2025-06-27T21:09:37.33+08:00
2025-06-28 11:08:27,2025-06-27T21:10:00+08:00,2025-06-27T21:12:03+08:00,1.0225,103.4253,C,Cloud to Cloud,2025-06-27T21:09:37.33+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,1.053,103.4809,C,Cloud to Cloud,2025-06-27T21:06:03.354+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,1.0631,103.4982,C,Cloud to Cloud,2025-06-27T21:06:03.354+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,1.0285,103.4915,C,Cloud to Cloud,2025-06-27T21:06:16.744+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,0.9825,103.4424,C,Cloud to Cloud,2025-06-27T21:06:16.745+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,1.0047,103.43,C,Cloud to Cloud,2025-06-27T21:06:16.752+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,1.0083,103.4548,C,Cloud to Cloud,2025-06-27T21:06:38.277+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,1.0164,103.4386,C,Cloud to Cloud,2025-06-27T21:06:49.419+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,1.029,103.4536,C,Cloud to Cloud,2025-06-27T21:06:49.42+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,0.9882,103.3953,C,Cloud to Cloud,2025-06-27T21:06:49.42+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,1.0339,103.455,C,Cloud to Cloud,2025-06-27T21:07:47.4+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,1.087,103.499,C,Cloud to Cloud,2025-06-27T21:07:47.431+08:00
2025-06-28 11:08:27,2025-06-27T21:08:00+08:00,2025-06-27T21:10:04+08:00,1.0294,103.452,C,Cloud to Cloud,2025-06-27T21:07:47.432+08:00
2025-06-28 11:08:27,2025-06-27T21:06:00+08:00,2025-06-27T21:08:02+08:00,0.9739,103.4039,C,Cloud to Cloud,2025-06-27T21:05:43.139+08:00
2025-06-28 11:08:27,2025-06-27T21:06:00+08:00,2025-06-27T21:08:02+08:00,0.9851,103.4341,C,Cloud to Cloud,2025-06-27T21:05:43.139+08:00
